caseid,educ,satjob
421,10,Very Satisfied
422,12,NA
423,12,Very Satisfied
424,9,Very Satisfied
425,10,NA
426,12,Mod. Satisfied
427,12,A Little Dissat
428,9,NA
429,14,NA
430,12,NA
431,11,NA
432,12,NA
433,11,NA
434,8,NA
435,16,A Little Dissat
436,12,NA
437,7,Very Satisfied
438,15,Mod. Satisfied
439,12,NA
440,9,NA
441,12,Mod. Satisfied
442,9,NA
443,12,Very Satisfied
444,15,NA
445,11,NA
446,10,A Little Dissat
447,13,Mod. Satisfied
448,15,Very Satisfied
449,12,Very Satisfied
450,14,NA
451,12,Mod. Satisfied
452,12,Very Satisfied
453,13,Very Satisfied
454,14,Mod. Satisfied
455,12,A Little Dissat
456,8,Mod. Satisfied
457,12,NA
458,8,Very Satisfied
459,12,Mod. Satisfied
460,12,Mod. Satisfied
461,4,NA
462,12,Very Satisfied
463,9,A Little Dissat
464,12,Mod. Satisfied
465,7,NA
466,6,NA
467,5,NA
468,5,NA
469,12,NA
470,12,Very Satisfied
471,12,Very Satisfied
472,9,NA
473,12,NA
474,10,NA
475,12,NA
476,8,Very Satisfied
477,8,Very Satisfied
478,11,Very Satisfied
479,12,NA
480,11,Very Satisfied
481,12,NA
482,12,Mod. Satisfied
483,11,Mod. Satisfied
484,19,Very Satisfied
485,16,Mod. Satisfied
486,12,Very Satisfied
487,12,Mod. Satisfied
488,12,Very Satisfied
489,11,Mod. Satisfied
490,12,NA
491,16,NA
492,11,Very Satisfied
493,12,NA
494,12,NA
495,7,Very Satisfied
496,12,Very Satisfied
497,10,Very Satisfied
498,14,Mod. Satisfied
499,10,NA
500,9,NA
501,8,Very Satisfied
502,8,A Little Dissat
503,17,Very Satisfied
504,16,Very Satisfied
505,12,NA
506,15,NA
507,12,Very Satisfied
508,12,Very Satisfied
509,12,Very Satisfied
510,15,A Little Dissat
511,12,Very Satisfied
512,13,Very Satisfied
513,13,Mod. Satisfied
514,12,Very Satisfied
515,14,NA
516,12,A Little Dissat
517,11,NA
518,16,Mod. Satisfied
519,12,Very Satisfied
520,12,Very Satisfied
521,12,NA
522,16,Very Satisfied
523,12,Mod. Satisfied
524,6,NA
525,8,Mod. Satisfied
526,12,NA
527,10,NA
528,11,NA
529,8,NA
530,8,NA
531,13,Very Satisfied
532,12,Mod. Satisfied
533,13,NA
534,13,Very Satisfied
535,12,NA
536,14,Very Satisfied
537,16,A Little Dissat
538,14,A Little Dissat
539,12,NA
540,12,Very Satisfied
541,12,NA
542,12,Very Satisfied
543,10,Very Satisfied
544,13,Very Satisfied
545,14,NA
546,14,Mod. Satisfied
547,12,Very Satisfied
548,8,NA
549,12,NA
550,12,NA
551,10,Very Satisfied
552,14,Very Satisfied
553,7,Very Satisfied
554,12,Mod. Satisfied
555,12,Very Satisfied
556,13,Very Satisfied
557,9,NA
558,13,NA
559,7,Very Satisfied
560,13,A Little Dissat
561,5,Very Satisfied
562,11,Very Satisfied
563,12,Very Satisfied
564,8,Mod. Satisfied
565,12,A Little Dissat
566,7,NA
567,8,NA
568,8,NA
569,6,NA
570,10,Mod. Satisfied
571,12,NA
572,12,Mod. Satisfied
573,8,Mod. Satisfied
574,7,NA
575,16,NA
576,10,Very Satisfied
577,8,NA
578,12,NA
579,8,Mod. Satisfied
580,12,NA
581,8,Very Satisfied
582,12,Very Satisfied
583,8,Very Satisfied
584,12,NA
585,12,Very Satisfied
586,16,Very Satisfied
587,12,NA
588,14,Very Satisfied
589,12,Mod. Satisfied
590,12,NA
591,12,NA
592,12,Very Satisfied
593,12,Mod. Satisfied
594,16,A Little Dissat
595,11,NA
596,15,Very Satisfied
597,12,Mod. Satisfied
598,11,NA
599,13,Mod. Satisfied
600,12,Very Satisfied
601,13,Mod. Satisfied
602,13,Very Satisfied
603,8,NA
604,9,NA
605,14,NA
606,8,NA
607,8,NA
608,11,Very Satisfied
609,11,NA
610,8,NA
611,12,NA
612,9,A Little Dissat
613,11,NA
614,9,Mod. Satisfied
615,8,NA
616,9,NA
617,12,Mod. Satisfied
618,9,Very Satisfied
619,8,Mod. Satisfied
620,12,NA
621,8,NA
622,8,Mod. Satisfied
623,16,Very Satisfied
624,13,A Little Dissat
625,16,NA
626,15,NA
627,13,NA
628,10,NA
629,10,Mod. Satisfied
630,12,Very Satisfied
631,16,NA
632,10,Mod. Satisfied
633,8,Mod. Satisfied
634,12,Mod. Satisfied
635,12,NA
636,14,Very Satisfied
637,12,NA
638,16,Mod. Satisfied
639,12,Very Satisfied
640,12,A Little Dissat
641,12,NA
642,8,NA
643,9,NA
644,13,Mod. Satisfied
645,9,NA
646,12,Very Satisfied
647,11,Mod. Satisfied
648,12,NA
649,10,Mod. Satisfied
650,9,A Little Dissat
651,10,NA
652,8,NA
653,10,NA
654,12,Very Satisfied
655,10,NA
656,8,NA
657,18,NA
658,12,NA
659,5,NA
660,9,NA
661,9,Very Satisfied
662,8,Very Satisfied
663,11,NA
664,12,NA
665,16,Very Satisfied
666,14,NA
667,12,Very Satisfied
668,12,Mod. Satisfied
669,12,Mod. Satisfied
670,12,Mod. Satisfied
671,8,Very Satisfied
672,15,Very Dissatisfied
673,12,A Little Dissat
674,12,NA
675,12,Very Satisfied
676,12,A Little Dissat
677,13,Very Satisfied
678,9,NA
679,16,Very Satisfied
680,12,A Little Dissat
681,19,Mod. Satisfied
682,14,Mod. Satisfied
683,11,NA
684,15,NA
685,15,Very Satisfied
686,19,Very Satisfied
687,16,Mod. Satisfied
688,16,NA
689,13,NA
690,12,NA
691,14,Mod. Satisfied
692,9,Mod. Satisfied
693,9,Mod. Satisfied
694,12,NA
695,12,NA
696,11,NA
697,5,NA
698,11,Very Satisfied
699,7,NA
700,12,NA
701,10,Very Satisfied
702,14,Very Dissatisfied
703,20,Mod. Satisfied
704,6,Very Satisfied
705,12,NA
706,13,A Little Dissat
707,12,Very Satisfied
708,14,NA
709,16,Mod. Satisfied
710,14,Very Dissatisfied
711,9,NA
712,13,Very Satisfied
713,13,NA
714,14,NA
715,16,Mod. Satisfied
716,14,NA
717,11,NA
718,16,Very Dissatisfied
719,16,NA
720,8,Mod. Satisfied
721,12,Very Satisfied
722,6,NA
723,10,Very Satisfied
724,16,Very Satisfied
725,10,NA
726,8,NA
727,3,NA
728,8,NA
729,10,Mod. Satisfied
730,14,Very Satisfied
731,12,Mod. Satisfied
732,16,Very Satisfied
733,12,NA
734,12,Mod. Satisfied
735,16,NA
736,16,Mod. Satisfied
737,8,NA
738,10,NA
739,12,NA
740,12,NA
741,8,Very Satisfied
742,12,A Little Dissat
743,12,NA
744,12,NA
745,12,Very Satisfied
746,8,NA
747,12,Mod. Satisfied
748,12,Mod. Satisfied
749,8,NA
750,4,NA
751,7,NA
752,11,NA
753,12,NA
754,10,Mod. Satisfied
755,5,NA
756,6,NA
757,13,A Little Dissat
758,3,A Little Dissat
759,12,Mod. Satisfied
760,9,Very Satisfied
761,13,A Little Dissat
762,12,Very Satisfied
763,12,Mod. Satisfied
764,15,NA
765,14,Very Satisfied
766,12,A Little Dissat
767,10,NA
768,8,A Little Dissat
769,12,NA
770,10,Very Satisfied
771,11,NA
772,12,Mod. Satisfied
773,12,Very Satisfied
774,12,NA
775,20,Very Dissatisfied
776,14,Very Satisfied
777,14,Mod. Satisfied
778,9,NA
779,8,NA
780,16,A Little Dissat
781,14,Very Satisfied
782,12,Mod. Satisfied
783,12,Very Satisfied
784,8,Very Satisfied
785,13,Mod. Satisfied
786,12,Mod. Satisfied
787,14,NA
788,4,NA
789,16,NA
790,8,NA
791,12,Mod. Satisfied
792,12,A Little Dissat
793,14,Mod. Satisfied
794,13,Very Satisfied
795,17,Very Satisfied
796,16,NA
797,18,Very Satisfied
798,12,NA
799,12,NA
800,15,NA
801,12,Very Satisfied
802,14,NA
803,7,Very Satisfied
804,12,NA
805,12,NA
806,12,Mod. Satisfied
807,10,Very Satisfied
808,15,Mod. Satisfied
809,7,Very Satisfied
810,14,A Little Dissat
811,14,Mod. Satisfied
812,10,Very Satisfied
813,15,NA
814,12,Very Satisfied
815,12,NA
816,15,Mod. Satisfied
817,14,Very Satisfied
818,9,NA
819,8,Very Satisfied
820,9,A Little Dissat
821,8,NA
822,13,Mod. Satisfied
823,4,Very Satisfied
824,8,NA
825,12,Very Satisfied
826,6,Mod. Satisfied
827,10,Very Satisfied
828,16,Mod. Satisfied
829,14,NA
830,15,Very Satisfied
831,15,NA
832,12,NA
833,16,Mod. Satisfied
834,16,Very Satisfied
835,12,NA
836,10,Very Satisfied
837,11,Mod. Satisfied
838,9,Very Satisfied
839,12,Very Satisfied
840,8,NA
841,17,Very Satisfied
842,20,Very Satisfied
843,12,NA
844,12,Very Satisfied
845,12,Very Satisfied
846,14,NA
847,16,Mod. Satisfied
848,19,Very Satisfied
849,16,Very Satisfied
850,12,NA
851,8,NA
852,12,NA
853,6,NA
854,8,Very Satisfied
855,14,Mod. Satisfied
856,16,Mod. Satisfied
857,13,NA
858,12,Very Satisfied
859,10,NA
860,10,Mod. Satisfied
861,12,Very Satisfied
862,7,Very Dissatisfied
863,8,A Little Dissat
864,10,Mod. Satisfied
865,9,NA
866,13,NA
867,14,NA
868,16,Very Satisfied
869,15,Very Satisfied
870,14,NA
871,12,NA
872,9,NA
873,17,Very Satisfied
874,7,NA
875,12,Very Satisfied
876,12,NA
877,12,Very Satisfied
878,9,NA
879,11,NA
880,10,Very Satisfied
881,10,Mod. Satisfied
882,11,NA
883,7,Very Satisfied
884,12,A Little Dissat
885,12,A Little Dissat
886,5,Mod. Satisfied
887,13,Very Satisfied
888,12,A Little Dissat
889,NA,Very Satisfied
890,12,A Little Dissat
891,12,NA
892,6,Very Satisfied
893,8,NA
894,8,NA
895,18,NA
896,12,Very Satisfied
897,18,NA
898,11,Mod. Satisfied
899,12,Mod. Satisfied
900,12,NA
901,12,A Little Dissat
902,12,NA
903,8,Mod. Satisfied
904,11,NA
905,9,A Little Dissat
906,12,NA
907,15,NA
908,12,A Little Dissat
909,16,Very Satisfied
910,12,Very Satisfied
911,3,NA
912,5,Very Satisfied
913,8,Mod. Satisfied
914,12,Very Satisfied
915,12,Very Satisfied
916,12,Very Satisfied
917,15,Mod. Satisfied
918,12,NA
919,4,A Little Dissat
920,12,Very Satisfied
921,9,Mod. Satisfied
922,20,Very Satisfied
923,15,Mod. Satisfied
924,8,Very Satisfied
925,5,Very Satisfied
926,7,NA
927,11,Very Satisfied
928,12,Mod. Satisfied
929,10,Very Dissatisfied
930,10,Mod. Satisfied
931,10,A Little Dissat
932,12,Mod. Satisfied
933,8,Very Satisfied
934,12,Very Satisfied
935,12,Very Satisfied
936,10,NA
937,8,NA
938,8,NA
939,8,Mod. Satisfied
940,0,NA
941,0,NA
942,12,Mod. Satisfied
943,11,NA
944,0,Very Satisfied
945,8,Very Satisfied
946,12,Mod. Satisfied
947,12,Very Satisfied
948,18,NA
949,16,Very Satisfied
950,12,Very Satisfied
951,16,Very Satisfied
952,13,A Little Dissat
953,14,Very Satisfied
954,12,Mod. Satisfied
955,12,A Little Dissat
956,10,NA
957,8,NA
958,3,Very Satisfied
959,8,NA
960,15,NA
961,12,Very Satisfied
962,12,NA
963,16,NA
964,19,Very Satisfied
965,20,Very Satisfied
966,14,NA
967,13,NA
968,13,NA
969,17,Very Satisfied
970,18,Very Satisfied
971,14,NA
972,8,NA
973,16,NA
974,12,Very Satisfied
975,10,NA
976,11,NA
977,14,Mod. Satisfied
978,12,NA
979,12,Very Satisfied
980,11,NA
981,12,Very Satisfied
982,7,NA
983,15,NA
984,12,Very Satisfied
985,12,Mod. Satisfied
986,12,Mod. Satisfied
987,7,Very Satisfied
988,8,NA
